,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
First,Middle,Last,Street,City,State,Zip,SSN,,
MARY,Z,BERNARD,PO BOX 190648,ANCHORAGE,AK,99519,666016220,,
JAYESM,W,CHOKSI,21473 CITRUS,ELMENDORF AFB,AK,99506,666205638,,
MOHAMMED,L,HANAIN,12175 GLACIER,JUNEAU,AK,99801,666664616,,
CHERI,A,BRIDWELL,3207 DORIS,ANCHORAGE,AK,99517,666466693,,
CHARLES,,BRECHEISEN,2900 BONIFACE,ANCHORAGE,AK,99504,666480908,,
DEBORAH,J,BARKER,7740 I,ELMENDORF AFB,AK,99506,666205849,,
JAYESM,,CHOSKI,24334 DAISY,ANCHORAGE,AK,99506,666206834,,
JAYEASH,,CHOKSI,2440 E TUDOR,ANCHORAGE,AK,99507,666281799,,
ROGER,D,BEEMAN,PO BOX 3084,OTHER PACIFIC,AK,96534,666325272,,
SANDI,D,GABRIEL,PO BOX 200006,ANCHORAGE,AK,99520,666729481,,
LINDA,,GRIMM,PO BOX 982,TOK,AK,99780,666829868,,
SHARON,A,BERK,6604 CIMARRON,ANCHORAGE,AK,99504,666341062,,
SHARON,A,BECKERBERK,31215 TULIP,ELMENDORF AFB,AK,99506,666608290,,
JOHN,W,CHESTER,2990 DAVIS,FAIRBANKS,AK,99709,666660628,,
PHILLIP,D,BEAN,123 A,ANCH,AK,99518,666789611,,
DEBORA,J,BARKER,3909 TOM WHITE,ANCHORAGE,AK,99504,666900351,,
MARTHA,B,BRAWLEY,3555 MENDENHALL LOOP,JUNEAU,AK,99801,666032524,,
CHESTER,A,BROUSSARD,PO BOX 2254,KENAI,AK,99611,666224325,,
MICHAELE,E,BUTLER,3125 LAURANCE,NORTH POLE,AK,99705,666289928,,
JAYESH,W,CHOKIS,360 6TH,FORT RICHARDSON,AK,99505,666386748,,
J,W,CHOKSI,31160 MYRTLE UNIT 3000,ELMENDORF AFB,AK,99506,666634430,,
JULIE,,ALIG,2240 E TUDOR,ANCHORAGE,AK,99507,666369331,,
JEFFREY,J,BURKHART,2906 TELEQUANA,ANCHORAGE,AK,99517,666404550,,
BENNY,G,BROCATO,PO BOX 1512,DILLINGHAM,AK,99576,666423754,,
MARY,,BERNARD,7210 HUNTSMEN,ANCHORAGE,AK,99518,666487848,,
MARY,G,BERNARD,9201 NORDIC,ANCHORAGE,AK,99516,666540712,,
BERNICE,A,DUPRE,PO BOX 9,BARROW,AK,99723,666325108,,
ANNA,,BROWN,57521 YOUNGBERG,SALCHA,AK,99714,666483767,,
ELIZABETH,R,BERENDS,PO BOX 877426,WASILLA,AK,99687,666505812,,
THOMAS,R,BRYANT,PO BOX 20006,ANCHORAGE,AK,99520,666785134,,
JAYESH,W,CHUKSI,24334 DAISY,ELMENDORF AFB,AK,99506,666222624,,
MELVIN,J,BENSON,PO BOX 230467,ANCHORAGE,AK,99523,666508163,,
GARY,L,KELLEY,511 BARROW,ANCHORAGE,AK,99501,666920387,,
TERRI,L,BROWN,2893T HC33,WASILLA,AK,99654,666130583,,
DANIEL,J,BOWLING,2216 KODIAK STOP 275,EIELSON AFB,AK,99702,666185605,,
DEBORAH,,ECKLAR,12175 GLACIER,JUNEAU,AK,99801,666421551,,
THOMAS,D,DEVOS,1206 BEAR CREEK E LOT 110,TUSCALOOSA,AL,35405,666023511,,
WILLARD,O,ATHEY          III,1930 COLEMAN,ANNISTON,AL,36207,666027421,,
